p_partkey,p_name,p_mfgr,p_brand,p_type actual,p_size,p_container,p_retailprice,p_comment,p_type
1,goldenrod lace spring peru powder,Manufacturer#1,Brand#13,PROMO BURNISHED COPPER,7,JUMBO PKG,901,ly. slyly ironi,87
2,blush rosy metallic lemon navajo,Manufacturer#1,Brand#13,LARGE BRUSHED BRASS,1,LG CASE,902,lar accounts amo,31
3,dark green antique puff wheat,Manufacturer#4,Brand#42,STANDARD POLISHED BRASS,21,WRAP CASE,903,egular deposits hag,146
4,chocolate metallic smoke ghost drab,Manufacturer#3,Brand#34,SMALL PLATED BRASS,14,MED DRUM,904,p furiously r,116
5,forest blush chiffon thistle chocolate,Manufacturer#3,Brand#32,STANDARD POLISHED TIN,15,SM PKG,905, wake carefully ,150
6,white ivory azure firebrick black,Manufacturer#2,Brand#24,PROMO PLATED STEEL,4,MED BAG,906,sual a,94
7,blue blanched tan indian olive,Manufacturer#1,Brand#11,SMALL PLATED COPPER,45,SM BAG,907,lyly. ex,117
8,ivory khaki cream midnight rosy,Manufacturer#4,Brand#44,PROMO BURNISHED TIN,41,LG DRUM,908,eposi,90
9,thistle rose moccasin light floral,Manufacturer#4,Brand#43,SMALL BURNISHED STEEL,12,WRAP CASE,909,ironic foxe,114
10,floral moccasin royal powder burnished,Manufacturer#5,Brand#54,LARGE BURNISHED STEEL,44,LG CAN,910.01,ithely final deposit,39
11,chocolate turquoise sandy snow misty,Manufacturer#2,Brand#25,STANDARD BURNISHED NICKEL,43,WRAP BOX,911.01,ng gr,138
12,peru ivory olive powder frosted,Manufacturer#3,Brand#33,MEDIUM ANODIZED STEEL,25,JUMBO CASE,912.01, quickly,54
13,ghost blue olive sky gainsboro,Manufacturer#5,Brand#55,MEDIUM BURNISHED NICKEL,1,JUMBO PACK,913.01,osits.,63
14,linen seashell burnished blue gainsboro,Manufacturer#1,Brand#13,SMALL POLISHED STEEL,28,JUMBO BOX,914.01,kages c,124
15,navajo dark sky turquoise royal,Manufacturer#1,Brand#15,LARGE ANODIZED BRASS,45,LG CASE,915.01,usual ac,26
16,deep brown turquoise dim papaya,Manufacturer#3,Brand#32,PROMO PLATED TIN,2,MED PACK,916.01,unts a,95
17,burnished navy orange dodger cream,Manufacturer#4,Brand#43,ECONOMY BRUSHED STEEL,16,LG BOX,917.01, regular accounts,9
18,spring indian forest khaki midnight,Manufacturer#1,Brand#11,SMALL BURNISHED STEEL,42,JUMBO PACK,918.01,s cajole slyly a,114
19,dodger forest floral cream black,Manufacturer#2,Brand#23,SMALL ANODIZED NICKEL,33,WRAP BOX,919.01, pending acc,103
20,bisque salmon dark blanched linen,Manufacturer#1,Brand#12,LARGE POLISHED NICKEL,48,MED BAG,920.02,are across the asympt,48
21,lemon aquamarine firebrick floral almond,Manufacturer#3,Brand#33,SMALL BURNISHED TIN,31,MED BAG,921.02,ss packages. pendin,115
22,medium floral beige cornsilk olive,Manufacturer#4,Brand#43,PROMO POLISHED BRASS,19,LG DRUM,922.02, even p,96
23,firebrick bisque slate rose blanched,Manufacturer#3,Brand#35,MEDIUM BURNISHED TIN,42,JUMBO JAR,923.02,"nic, fina",65
24,saddle dim white honeydew spring,Manufacturer#5,Brand#52,MEDIUM PLATED STEEL,20,MED CASE,924.02, final the,69
